"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Porto","Porto","41.1621","-8.6220","Portugal","PT","PRT","Porto","admin","1278210","1620356810"
"Lisbon","Lisbon","38.7253","-9.1500","Portugal","PT","PRT","Lisboa","primary","548703","1620619017"
"Aves","Aves","41.4400","-8.3000","Portugal","PT","PRT","Porto","","425411","1620507201"
"Sintra","Sintra","38.7992","-9.3883","Portugal","PT","PRT","Lisboa","minor","377835","1620848791"
"Vila Nova de Gaia","Vila Nova de Gaia","41.1333","-8.6167","Portugal","PT","PRT","Porto","minor","302295","1620040225"
"Cascais","Cascais","38.7000","-9.4167","Portugal","PT","PRT","Lisboa","minor","214158","1620824685"
"Loures","Loures","38.8333","-9.1667","Portugal","PT","PRT","Lisboa","minor","201632","1620042113"
"Seixal","Seixal","38.6500","-9.1000","Portugal","PT","PRT","Setúbal","minor","184269","1620870397"
"Braga","Braga","41.5503","-8.4200","Portugal","PT","PRT","Braga","admin","181494","1620949401"
"Leiria","Leiria","39.7500","-8.8000","Portugal","PT","PRT","Leiria","admin","126897","1620304777"
"Santarem","Santarem","39.2339","-8.6861","Portugal","PT","PRT","Santarém","admin","62200","1620315932"
"Coimbra","Coimbra","40.2028","-8.4139","Portugal","PT","PRT","Coimbra","admin","143396","1620166724"